SampleID,Compartment,Plant,Location,Gen,TRT_OLD,TRT,Time
A658,Rhizo,YES,Greenhouse,FIL,4AmbCorpus,MFI,Harvest
A659,Rhizo,YES,Greenhouse,HAL,1NativeAUS,HI,Harvest
A660,Rhizo,YES,Greenhouse,HAL,4AmbCorpus,MFI,Harvest
A661,Rhizo,YES,Greenhouse,FIL,4AmbCorpus,MFI,Harvest
A662,Rhizo,YES,Greenhouse,HAL,3AmbAus,MHI,Harvest
A663,Rhizo,YES,Greenhouse,FIL,2NativeCorpus,FI,Harvest
A664,Rhizo,YES,Greenhouse,HAL,1NativeAUS,HI,Harvest
A665,Rhizo,YES,Greenhouse,HAL,4AmbCorpus,MFI,Harvest
A666,Rhizo,YES,Greenhouse,FIL,1NativeAUS,HI,Harvest
A667,Rhizo,YES,Greenhouse,HAL,2NativeCorpus,FI,Harvest
A668,Rhizo,YES,Greenhouse,FIL,4AmbCorpus,MFI,Harvest
A669,Rhizo,YES,Greenhouse,FIL,3AmbAus,MHI,Harvest
A670,Rhizo,YES,Greenhouse,FIL,4AmbCorpus,MFI,Harvest
A671,Rhizo,YES,Greenhouse,FIL,1NativeAUS,HI,Harvest
A672,Rhizo,YES,Greenhouse,FIL,2NativeCorpus,FI,Harvest
A673,Rhizo,YES,Greenhouse,HAL,1NativeAUS,HI,Harvest
A674,Rhizo,YES,Greenhouse,HAL,2NativeCorpus,FI,Harvest
A675,Rhizo,YES,Greenhouse,HAL,4AmbCorpus,MFI,Harvest
A676,Rhizo,YES,Greenhouse,HAL,3AmbAus,MHI,Harvest
A677,Rhizo,YES,Greenhouse,FIL,4AmbCorpus,MFI,Harvest
A678,Rhizo,YES,Greenhouse,HAL,3AmbAus,MHI,Harvest
A679,Rhizo,YES,Greenhouse,FIL,2NativeCorpus,FI,Harvest
A680,Rhizo,YES,Greenhouse,HAL,2NativeCorpus,FI,Harvest
A681,Rhizo,YES,Greenhouse,HAL,2NativeCorpus,FI,Harvest
A682,Rhizo,YES,Greenhouse,HAL,1NativeAUS,HI,Harvest
A683,Rhizo,YES,Greenhouse,HAL,4AmbCorpus,MFI,Harvest
A684,Rhizo,YES,Greenhouse,FIL,3AmbAus,MHI,Harvest
A685,Rhizo,YES,Greenhouse,HAL,3AmbAus,MHI,Harvest
A686,Rhizo,YES,Greenhouse,FIL,1NativeAUS,HI,Harvest
A687,Rhizo,YES,Greenhouse,HAL,1NativeAUS,HI,Harvest
A688,Rhizo,YES,Greenhouse,HAL,4AmbCorpus,MFI,Harvest
A689,Rhizo,YES,Greenhouse,FIL,1NativeAUS,HI,Harvest
A690,Rhizo,YES,Greenhouse,HAL,2NativeCorpus,FI,Harvest
A691,Rhizo,YES,Greenhouse,HAL,3AmbAus,MHI,Harvest
A692,Rhizo,YES,Greenhouse,FIL,2NativeCorpus,FI,Harvest
A693,Rhizo,YES,Greenhouse,FIL,4AmbCorpus,MFI,Harvest
A694,Rhizo,YES,Greenhouse,FIL,3AmbAus,MHI,Harvest
A695,Rhizo,YES,Greenhouse,HAL,2NativeCorpus,FI,Harvest
A696,Rhizo,YES,Greenhouse,HAL,1NativeAUS,HI,Harvest
A697,Rhizo,YES,Greenhouse,HAL,3AmbAus,MHI,Harvest
A698,Rhizo,YES,Greenhouse,FIL,1NativeAUS,HI,Harvest
A699,Rhizo,YES,Greenhouse,FIL,3AmbAus,MHI,Harvest
A700,Soil,NO,Greenhouse,NP,2NativeCorpus,FI,Harvest
A701,Soil,NO,Greenhouse,NP,3AmbAus,MHI,Harvest
A702,Soil,NO,Greenhouse,NP,1NativeAUS,HI,Harvest
A703,Soil,NO,Greenhouse,NP,4AmbCorpus,MFI,Harvest
A704,Rhizo,YES,Field,FIL,CorpusF,Corpus,Native
A705,Rhizo,YES,Field,FIL,CorpusF,Corpus,Native
A706,Rhizo,YES,Field,FIL,CorpusF,Corpus,Native
A707,Rhizo,YES,Field,FIL,CorpusF,Corpus,Native
A708,Rhizo,YES,Field,FIL,CorpusF,Corpus,Native
A709,Rhizo,YES,Field,FIL,CorpusF,Corpus,Native
A710,Rhizo,YES,Field,FIL,CorpusF,Corpus,Native
A711,Rhizo,YES,Field,FIL,CorpusF,Corpus,Native
A712,Rhizo,YES,Field,FIL,CorpusF,Corpus,Native
A713,Rhizo,YES,Field,HAL,AustinF,Austin,Native
A714,Rhizo,YES,Field,HAL,AustinF,Austin,Native
A715,Rhizo,YES,Field,HAL,AustinF,Austin,Native
A716,Rhizo,YES,Field,HAL,AustinF,Austin,Native
A717,Rhizo,YES,Field,HAL,AustinF,Austin,Native
A718,Rhizo,YES,Field,HAL,AustinF,Austin,Native
A720,Rhizo,YES,Field,HAL,AustinF,Austin,Native
A721,Rhizo,YES,Field,HAL,AustinF,Austin,Native
A722,Root,YES,Field,FIL,CorpusF,Corpus,Native
A723,Root,YES,Field,FIL,CorpusF,Corpus,Native
A724,Root,YES,Field,FIL,CorpusF,Corpus,Native
A725,Root,YES,Field,FIL,CorpusF,Corpus,Native
A726,Root,YES,Field,FIL,CorpusF,Corpus,Native
A727,Root,YES,Field,FIL,CorpusF,Corpus,Native
A728,Root,YES,Field,FIL,CorpusF,Corpus,Native
A729,Root,YES,Field,FIL,CorpusF,Corpus,Native
A730,Root,YES,Field,FIL,CorpusF,Corpus,Native
A731,Root,YES,Field,HAL,AustinF,Austin,Native
A732,Root,YES,Field,HAL,AustinF,Austin,Native
A733,Root,YES,Field,HAL,AustinF,Austin,Native
A734,Root,YES,Field,HAL,AustinF,Austin,Native
A735,Root,YES,Field,HAL,AustinF,Austin,Native
A736,Root,YES,Field,HAL,AustinF,Austin,Native
A738,Root,YES,Field,HAL,AustinF,Austin,Native
A739,Root,YES,Field,HAL,AustinF,Austin,Native
A740,Soil,YES,Field,FIL,CorpusF,Corpus,Native
A741,Soil,YES,Field,FIL,CorpusF,Corpus,Native
A742,Soil,YES,Field,FIL,CorpusF,Corpus,Native
A743,Soil,YES,Field,FIL,CorpusF,Corpus,Native
A744,Soil,YES,Field,FIL,CorpusF,Corpus,Native
A745,Soil,YES,Field,HAL,AustinF,Austin,Native
A746,Soil,YES,Field,HAL,AustinF,Austin,Native
A747,Soil,YES,Field,HAL,AustinF,Austin,Native
A748,Soil,YES,Field,HAL,AustinF,Austin,Native
A749,Soil,YES,Field,HAL,AustinF,Austin,Native
Alb100,Root,YES,Greenhouse,FIL,2NativeCorpus,FI,Harvest
Alb101,Root,YES,Greenhouse,FIL,4AmbCorpus,MFI,Harvest
Alb102,Root,YES,Greenhouse,HAL,1NativeAUS,HI,Harvest
Alb103,Root,YES,Greenhouse,FIL,1NativeAUS,HI,Harvest
Alb104,Root,YES,Greenhouse,HAL,2NativeCorpus,FI,Harvest
Alb105,Root,YES,Greenhouse,FIL,4AmbCorpus,MFI,Harvest
Alb106,Root,YES,Greenhouse,FIL,3AmbAus,MHI,Harvest
Alb107,Root,YES,Greenhouse,FIL,1NativeAUS,HI,Harvest
Alb108,Root,YES,Greenhouse,FIL,2NativeCorpus,FI,Harvest
Alb109,Root,YES,Greenhouse,HAL,1NativeAUS,HI,Harvest
Alb110,Root,YES,Greenhouse,HAL,2NativeCorpus,FI,Harvest
Alb111,Root,YES,Greenhouse,HAL,4AmbCorpus,MFI,Harvest
Alb113,Root,YES,Greenhouse,HAL,3AmbAus,MHI,Harvest
Alb114,Root,YES,Greenhouse,FIL,4AmbCorpus,MFI,Harvest
Alb115,Root,YES,Greenhouse,HAL,3AmbAus,MHI,Harvest
Alb116,Root,YES,Greenhouse,FIL,2NativeCorpus,FI,Harvest
Alb117,Root,YES,Greenhouse,HAL,2NativeCorpus,FI,Harvest
Alb118,Root,YES,Greenhouse,HAL,2NativeCorpus,FI,Harvest
Alb119,Root,YES,Greenhouse,HAL,1NativeAUS,HI,Harvest
Alb120,Root,YES,Greenhouse,HAL,4AmbCorpus,MFI,Harvest
Alb121,Root,YES,Greenhouse,FIL,3AmbAus,MHI,Harvest
Alb122,Root,YES,Greenhouse,HAL,3AmbAus,MHI,Harvest
Alb123,Root,YES,Greenhouse,FIL,1NativeAUS,HI,Harvest
Alb124,Root,YES,Greenhouse,HAL,1NativeAUS,HI,Harvest
Alb125,Root,YES,Greenhouse,HAL,4AmbCorpus,MFI,Harvest
Alb126,Root,YES,Greenhouse,FIL,1NativeAUS,HI,Harvest
Alb127,Root,YES,Greenhouse,HAL,2NativeCorpus,FI,Harvest
Alb129,Root,YES,Greenhouse,HAL,3AmbAus,MHI,Harvest
Alb130,Root,YES,Greenhouse,FIL,4AmbCorpus,MFI,Harvest
Alb131,Root,YES,Greenhouse,FIL,2NativeCorpus,FI,Harvest
Alb132,Root,YES,Greenhouse,FIL,3AmbAus,MHI,Harvest
Alb133,Root,YES,Greenhouse,HAL,2NativeCorpus,FI,Harvest
Alb134,Root,YES,Greenhouse,HAL,1NativeAUS,HI,Harvest
Alb135,Root,YES,Greenhouse,HAL,3AmbAus,MHI,Harvest
Alb136,Root,YES,Greenhouse,FIL,1NativeAUS,HI,Harvest
Alb137,Root,YES,Greenhouse,FIL,3AmbAus,MHI,Harvest
Alb138,Soil,YES,Greenhouse,HAL,1NativeAUS,HI,Harvest
Alb139,Soil,YES,Greenhouse,HAL,4AmbCorpus,MFI,Harvest
Alb140,Soil,YES,Greenhouse,FIL,2NativeCorpus,FI,Harvest
Alb141,Soil,YES,Greenhouse,HAL,4AmbCorpus,MFI,Harvest
Alb145,Root,YES,Greenhouse,HAL,4AmbCorpus,MFI,Harvest
Alb146,Root,YES,Greenhouse,FIL,4AmbCorpus,MFI,Harvest
Alb147,Root,YES,Greenhouse,FIL,2NativeCorpus,FI,Harvest
Alb148,Root,YES,Greenhouse,FIL,3AmbAus,MHI,Harvest
Alb149,Root,YES,Greenhouse,HAL,4AmbCorpus,MFI,Harvest
Alb156,Soil,YES,Greenhouse,FIL,4AmbCorpus,MFI,Harvest
Alb157,Soil,YES,Greenhouse,FIL,3AmbAus,MHI,Harvest
Alb158,Soil,YES,Greenhouse,FIL,1NativeAUS,HI,Harvest
Alb159,Soil,YES,Greenhouse,FIL,2NativeCorpus,FI,Harvest
Alb160,Soil,YES,Greenhouse,FIL,3AmbAus,MHI,Harvest
Alb161,Soil,YES,Greenhouse,HAL,3AmbAus,MHI,Harvest
Alb162,Soil,YES,Greenhouse,FIL,2NativeCorpus,FI,Harvest
Alb163,Soil,YES,Greenhouse,HAL,1NativeAUS,HI,Harvest
Alb164,Soil,YES,Greenhouse,FIL,1NativeAUS,HI,Harvest
Alb165,Soil,YES,Greenhouse,HAL,2NativeCorpus,FI,Harvest
Alb166,Soil,YES,Greenhouse,FIL,4AmbCorpus,MFI,Harvest
Alb167,Soil,YES,Greenhouse,FIL,3AmbAus,MHI,Harvest
Alb168,Soil,YES,Greenhouse,FIL,4AmbCorpus,MFI,Harvest
Alb169,Soil,YES,Greenhouse,FIL,1NativeAUS,HI,Harvest
Alb170,Soil,YES,Greenhouse,FIL,2NativeCorpus,FI,Harvest
Alb171,Soil,YES,Greenhouse,HAL,2NativeCorpus,FI,Harvest
Alb172,Soil,YES,Greenhouse,HAL,4AmbCorpus,MFI,Harvest
Alb173,Soil,YES,Greenhouse,HAL,3AmbAus,MHI,Harvest
Alb174,Soil,YES,Greenhouse,FIL,4AmbCorpus,MFI,Harvest
Alb175,Soil,YES,Greenhouse,FIL,2NativeCorpus,FI,Harvest
Alb176,Soil,YES,Greenhouse,HAL,2NativeCorpus,FI,Harvest
Alb177,Soil,YES,Greenhouse,HAL,1NativeAUS,HI,Harvest
Alb178,Soil,YES,Greenhouse,HAL,4AmbCorpus,MFI,Harvest
Alb179,Soil,YES,Greenhouse,HAL,3AmbAus,MHI,Harvest
Alb180,Soil,YES,Greenhouse,FIL,1NativeAUS,HI,Harvest
Alb181,Soil,YES,Greenhouse,HAL,1NativeAUS,HI,Harvest
Alb182,Soil,YES,Greenhouse,HAL,4AmbCorpus,MFI,Harvest
Alb183,Soil,YES,Greenhouse,FIL,1NativeAUS,HI,Harvest
Alb184,Soil,YES,Greenhouse,HAL,2NativeCorpus,FI,Harvest
Alb185,Soil,YES,Greenhouse,HAL,3AmbAus,MHI,Harvest
Alb186,Soil,YES,Greenhouse,FIL,4AmbCorpus,MFI,Harvest
Alb187,Soil,YES,Greenhouse,FIL,3AmbAus,MHI,Harvest
